region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2025,8,2025-08,13.2463179931685,41.0492758089368,1194691,737419,0.617246635322439,25916,2147,159,0.02169263851489632
Y58,SOUTH WEST COMMISSIONING REGION,2025,8,2025-08,12.1136315734008,39.5696629667003,638929,411990,0.644813429974223,11717,1197,146,0.018338500834991056
Y59,SOUTH EAST COMMISSIONING REGION,2025,8,2025-08,13.3744866007889,42.1627140875268,1098898,670999,0.61061081192249,28610,2612,199,0.026035173419189043
Y60,MIDLANDS COMMISSIONING REGION,2025,8,2025-08,14.0643200042203,41.7775034495447,1329647,797106,0.599486931493848,28624,1131,62,0.02152751820595993
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,8,2025-08,14.947773359841,45.5203432003432,938103,533493,0.568693416394575,37659,2987,385,0.040143779521012085
Y62,NORTH WEST COMMISSIONING REGION,2025,8,2025-08,14.5430980174171,44.6289186090944,1041567,602724,0.578670407184559,35245,1328,151,0.03383843766171547
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,8,2025-08,11.5894270234773,38.8688985507246,929920,619370,0.66604654163799,16533,984,162,0.017778948726772194
