region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2025,11,2025-11,12.7414351269801,39.5522894192002,1122733,699123,0.622697471259863,19085,1115,165,0.016998698711091595
Y58,SOUTH WEST COMMISSIONING REGION,2025,11,2025-11,11.5330018083183,37.6806199770379,634101,416057,0.65613679839647,9639,736,134,0.015201048413423098
Y59,SOUTH EAST COMMISSIONING REGION,2025,11,2025-11,12.8747675442889,40.3471039075261,1080955,667219,0.617249561730137,23837,1515,127,0.022051796790800725
Y60,MIDLANDS COMMISSIONING REGION,2025,11,2025-11,13.5315678646633,39.9304802259887,1325344,801899,0.605049707849434,23921,635,42,0.018048899002824928
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,11,2025-11,14.6085148144686,43.7724869145081,922090,531352,0.576247437885673,33288,3786,711,0.03610059755555314
Y62,NORTH WEST COMMISSIONING REGION,2025,11,2025-11,14.0444375259444,41.9928328281651,1017481,600209,0.589897010361864,26661,523,33,0.026202946295803067
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,11,2025-11,11.2228167954592,37.5383872410195,916837,612100,0.66762139835107,14138,832,160,0.015420407335218801
