org_code,org_name,year,month,period,total,within,after,performance,pct_after_62,within_31_days,in_32_to_38_days,in_39_to_48_days,in_49_to_62_days,in_63_to_76_days,in_77_to_90_days,in_91_to_104_days,after_104_days
QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2025,12,2025-12,748.0,582.0,166.0,0.77807486631016,0.22192513368983957,235.0,73.0,100.0,174.0,49.0,50.0,22.0,45.0
QSL,NHS SOMERSET INTEGRATED CARE BOARD,2025,12,2025-12,422.0,314.0,108.0,0.744075829383886,0.2559241706161137,111.0,48.0,60.0,95.0,47.0,19.0,17.0,25.0
QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,2025,12,2025-12,520.0,323.0,197.0,0.621153846153846,0.37884615384615383,139.0,42.0,63.0,79.0,52.0,50.0,31.0,64.0
QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,2025,12,2025-12,468.0,355.0,113.0,0.758547008547009,0.24145299145299146,181.0,30.0,60.0,84.0,39.0,26.0,23.0,25.0
QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",2025,12,2025-12,868.0,633.0,235.0,0.72926267281106,0.2707373271889401,270.0,91.0,126.0,146.0,58.0,63.0,33.0,81.0
QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,2025,12,2025-12,490.0,360.0,130.0,0.73469387755102,0.2653061224489796,151.0,35.0,75.0,99.0,28.0,31.0,24.0,47.0
QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,2025,12,2025-12,456.0,333.0,123.0,0.730263157894737,0.26973684210526316,93.0,47.0,72.0,121.0,45.0,27.0,16.0,35.0
QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",2025,12,2025-12,548.0,376.0,172.0,0.686131386861314,0.31386861313868614,133.0,50.0,78.0,115.0,68.0,41.0,23.0,40.0
QVV,NHS DORSET INTEGRATED CARE BOARD,2025,12,2025-12,495.0,368.0,127.0,0.743434343434343,0.25656565656565655,159.0,56.0,64.0,89.0,49.0,22.0,21.0,35.0
QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,2025,12,2025-12,531.0,414.0,117.0,0.779661016949153,0.22033898305084745,172.0,58.0,84.0,100.0,36.0,33.0,23.0,25.0
QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2025,12,2025-12,1171.0,909.0,262.0,0.776259607173356,0.2237403928266439,354.0,106.0,173.0,276.0,94.0,83.0,40.0,45.0
QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025,12,2025-12,424.0,288.0,136.0,0.679245283018868,0.32075471698113206,130.0,42.0,49.0,67.0,36.0,39.0,25.0,36.0
QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,2025,12,2025-12,585.0,468.0,117.0,0.8,0.2,187.0,67.0,94.0,120.0,44.0,29.0,17.0,27.0
QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,2025,12,2025-12,1401.0,1045.0,356.0,0.745895788722341,0.2541042112776588,430.0,130.0,209.0,276.0,140.0,91.0,55.0,70.0
