region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2025,6,2025-06,13.2565502183406,40.6575088652482,1193583,743323,0.622766074918963,26234,1756,150,0.021979200441025047
Y58,SOUTH WEST COMMISSIONING REGION,2025,6,2025-06,11.9816729804444,39.1540288083806,633628,414509,0.654183527243114,11967,897,71,0.018886475976440435
Y59,SOUTH EAST COMMISSIONING REGION,2025,6,2025-06,13.4516569463642,41.6962866927593,1096177,673627,0.614523931810282,28824,1878,227,0.02629502352266103
Y60,MIDLANDS COMMISSIONING REGION,2025,6,2025-06,14.0128858131488,41.7380390763766,1353621,812584,0.60030392554489,31337,821,51,0.023150497812903317
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,6,2025-06,15.0309600817091,45.5041032908204,928893,529546,0.570082883604462,36400,2137,227,0.03918642943805153
Y62,NORTH WEST COMMISSIONING REGION,2025,6,2025-06,14.3605848991088,44.459480819152,1028412,602688,0.586037502479551,35438,1890,124,0.03445895224870966
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,6,2025-06,11.4054424369882,38.3366634308695,995804,672106,0.674938040015907,17418,822,139,0.017491393888757225
