region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2025,5,2025-05,13.4537647023434,41.4169857142857,1187129,730779,0.615585163870144,26850,1910,190,0.02261759252785502
Y58,SOUTH WEST COMMISSIONING REGION,2025,5,2025-05,12.0208522212149,39.5773081081081,634412,412364,0.649994010201572,12499,893,69,0.01970170803830949
Y59,SOUTH EAST COMMISSIONING REGION,2025,5,2025-05,13.5871431390607,42.4886561212282,1090023,664425,0.609551358090609,30292,2101,297,0.027790239288528775
Y60,MIDLANDS COMMISSIONING REGION,2025,5,2025-05,14.4712660702648,42.6676694592536,1361110,799781,0.587594683750762,33411,1064,94,0.02454687718112423
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,5,2025-05,15.2215023109153,45.7510056179775,933148,528637,0.566509278270971,37101,2236,209,0.03975896642333263
Y62,NORTH WEST COMMISSIONING REGION,2025,5,2025-05,14.4151988753825,44.6478330327235,1016894,593630,0.583767826341782,34746,2013,121,0.03416875308537566
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,5,2025-05,11.5775144436852,38.5622455344486,990349,665019,0.671499643055125,17511,970,130,0.017681645561312225
