region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2025,12,2025-12,13.1450428042573,39.8753736434109,1185422,741707,0.625690260514821,18053,452,74,0.015229175770316393
Y58,SOUTH WEST COMMISSIONING REGION,2025,12,2025-12,12.0614225811461,38.312,631279,411330,0.651581947126389,9111,480,117,0.014432604284318027
Y59,SOUTH EAST COMMISSIONING REGION,2025,12,2025-12,13.5149668311493,40.9348229885058,1079613,660493,0.611786816201732,21906,761,120,0.020290604133147712
Y60,MIDLANDS COMMISSIONING REGION,2025,12,2025-12,14.0646587569995,40.4505663095345,1323157,795331,0.601085887766909,21071,376,32,0.01592479199369387
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,12,2025-12,14.7984142139566,44.2068948948949,923126,530821,0.575025511143658,30905,4369,992,0.03347863671914777
Y62,NORTH WEST COMMISSIONING REGION,2025,12,2025-12,14.2328338861565,42.0960256714999,1007388,595024,0.590660202424488,21681,151,13,0.0215219954972662
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,12,2025-12,11.8510912892897,38.0029518159456,910295,605029,0.664651568996864,12553,471,40,0.01379003509851202
