region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2025,10,2025-10,13.1214494209221,39.6883825192802,1193081,745140,0.624551057304575,22416,1901,182,0.01878833038159186
Y58,SOUTH WEST COMMISSIONING REGION,2025,10,2025-10,12.0081728616211,37.9193481925454,636970,416655,0.654120288239635,10421,1115,196,0.0163602681444966
Y59,SOUTH EAST COMMISSIONING REGION,2025,10,2025-10,13.3137388461276,40.6221212853346,1089826,672663,0.617220547133212,26802,2424,190,0.024592916667431314
Y60,MIDLANDS COMMISSIONING REGION,2025,10,2025-10,13.754066188513,40.0227779871843,1331591,808367,0.607068536810477,25777,877,50,0.019358046126776166
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,10,2025-10,14.9093643142586,45.086330548926,942078,539424,0.572589530803182,36377,4112,694,0.03861357552134749
Y62,NORTH WEST COMMISSIONING REGION,2025,10,2025-10,14.220736724009,42.4102680927907,1039481,614380,0.591044954164626,30204,712,53,0.029056808157147652
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,10,2025-10,11.4281041000291,37.5870504797664,930644,624276,0.670800005157719,14980,1009,178,0.0160963805708735
