region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2026,1,2026-01,13.3409703096153,39.4417799801784,1177168,735950,0.625186889212075,17333,455,67,0.014724321422260885
Y58,SOUTH WEST COMMISSIONING REGION,2026,1,2026-01,12.2494404883011,37.7795813328212,635884,415716,0.653760748815822,8582,502,119,0.01349617225783319
Y59,SOUTH EAST COMMISSIONING REGION,2026,1,2026-01,13.7908691241123,40.872650763076,1075756,654904,0.60878489174125,21732,965,160,0.020201607055875124
Y60,MIDLANDS COMMISSIONING REGION,2026,1,2026-01,14.3603834913004,40.0609900509585,1315854,784520,0.596205962059621,21137,477,38,0.016063332254186255
Y61,EAST OF ENGLAND COMMISSIONING REGION,2026,1,2026-01,14.7642703507611,43.8981015702362,908354,527964,0.581231546291424,29576,4305,1075,0.03255999313043153
Y62,NORTH WEST COMMISSIONING REGION,2026,1,2026-01,14.212360238934,41.7158496780955,1002098,595106,0.59386008154891,19912,122,5,0.019870312085245156
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2026,1,2026-01,12.0851044924652,37.6269202554001,904353,598763,0.662089914004819,12536,406,57,0.013861843771182271
