region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2025,4,2025-04,12.9830540198111,41.0142404312669,1182049,718628,0.607951108625784,24068,1324,126,0.020361254059687882
Y58,SOUTH WEST COMMISSIONING REGION,2025,4,2025-04,11.7661400577244,39.5298342303552,636449,408239,0.641432384998641,12199,748,61,0.01916728598835099
Y59,SOUTH EAST COMMISSIONING REGION,2025,4,2025-04,13.2837656903766,42.5378127340824,1094839,652744,0.596200902598464,30589,1732,432,0.02793926778275162
Y60,MIDLANDS COMMISSIONING REGION,2025,4,2025-04,14.1027615278734,42.3889135866288,1371311,788383,0.574911890883979,31600,1105,73,0.023043642178907628
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,4,2025-04,15.0571493110459,45.2972606127215,942828,518229,0.549653807481322,35991,1653,153,0.0381734526339905
Y62,NORTH WEST COMMISSIONING REGION,2025,4,2025-04,14.073773364486,44.4379191045536,1025301,586152,0.571687728774282,34324,1385,93,0.03347699846191508
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,4,2025-04,11.2543706020328,38.6081147776184,991293,654174,0.659919922767537,16941,1037,298,0.017089800896404998
