region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2025,3,2025-03,13.2170858231007,40.5558026525199,1178632,719706,0.61062825377217,22727,1108,139,0.019282524146637798
Y58,SOUTH WEST COMMISSIONING REGION,2025,3,2025-03,11.4740304709141,39.4639520445301,638911,410448,0.642418114573078,11457,626,48,0.017932075046446217
Y59,SOUTH EAST COMMISSIONING REGION,2025,3,2025-03,14.0694887300715,42.2638784138956,1091910,648910,0.594288906594866,28520,1237,428,0.02611936881244791
Y60,MIDLANDS COMMISSIONING REGION,2025,3,2025-03,14.8623859831428,42.0614143494679,1391255,797391,0.57314510999062,30305,997,51,0.02178249134773999
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,3,2025-03,15.7564431828422,45.082151208106,947045,521609,0.550775306347639,34616,1361,94,0.03655158941760951
Y62,NORTH WEST COMMISSIONING REGION,2025,3,2025-03,14.7181723613667,43.953735860144,1031774,591534,0.57331741253414,32750,991,85,0.0317414472549221
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,3,2025-03,10.8486090684357,38.4010507396654,993890,657390,0.661431345521134,16054,830,206,0.016152692953948625
