region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2025,7,2025-07,12.8643143212264,40.6940892696123,1193088,740320,0.620507456281515,26442,1926,117,0.02216265690376569
Y58,SOUTH WEST COMMISSIONING REGION,2025,7,2025-07,11.6586671447598,39.1208689869209,635597,412962,0.649723016313796,11910,1089,118,0.018738288569643973
Y59,SOUTH EAST COMMISSIONING REGION,2025,7,2025-07,13.0741311189982,41.7837457544881,1099660,672312,0.611381699798119,28870,2275,320,0.026253569285051744
Y60,MIDLANDS COMMISSIONING REGION,2025,7,2025-07,13.6749613097662,41.6405029853447,1336111,801304,0.599728615362047,30383,881,51,0.022739877150925333
Y61,EAST OF ENGLAND COMMISSIONING REGION,2025,7,2025-07,15.0378360063248,44.8732792843165,935757,532132,0.568664728129204,36462,2639,340,0.03896524418198314
Y62,NORTH WEST COMMISSIONING REGION,2025,7,2025-07,14.1102460009695,44.0800935672515,1036621,604256,0.582909279283364,35016,1844,184,0.033778979974359
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2025,7,2025-07,11.0123937436246,38.3248259715936,923073,620320,0.672016189402138,15890,905,165,0.017214239827185934
