region_code,region_name,year,month,period,median_wait_weeks,p92_wait_weeks,total_incomplete,total_within_18,pct_within_18,total_52_plus,total_65_plus,total_78_plus,pct_52_plus
Y56,LONDON COMMISSIONING REGION,2026,2,2026-02,12.8576211380307,38.5235043345232,1169363,747283,0.639051346758876,15095,443,67,0.012908737492121779
Y58,SOUTH WEST COMMISSIONING REGION,2026,2,2026-02,11.9676685782084,37.2354728446639,639750,424102,0.662918327471669,7954,559,119,0.012432981633450567
Y59,SOUTH EAST COMMISSIONING REGION,2026,2,2026-02,13.4453348040488,40.1000944669366,1069662,660799,0.617764303116311,19978,1055,93,0.01867692785197567
Y60,MIDLANDS COMMISSIONING REGION,2026,2,2026-02,13.8550013126805,39.4049890992542,1322944,802474,0.606581986841469,19744,505,41,0.014924290068211504
Y61,EAST OF ENGLAND COMMISSIONING REGION,2026,2,2026-02,14.2714262580462,42.2126195980793,901693,535955,0.594387446725216,25855,3435,912,0.028673839100447712
Y62,NORTH WEST COMMISSIONING REGION,2026,2,2026-02,13.447889182058,40.4285873651025,987393,603120,0.610820615499604,17736,141,6,0.017962452640438
Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,2026,2,2026-02,11.8285521255587,37.1043680162531,900085,600018,0.666623707760934,11739,420,44,0.01304210157929529
